tmp_pygslib_file
3
X
Y
V
  11.0    8.0     0.0
   8.0   30.0     0.0
   9.0   48.0   224.4
   8.0   69.0   434.4
   9.0   90.0   412.1
  10.0  110.0   587.2
   9.0  129.0   192.3
  11.0  150.0    31.3
  10.0  170.0   388.5
   8.0  188.0   174.6
   9.0  209.0   187.8
  10.0  231.0    82.1
  11.0  250.0    81.1
  10.0  269.0   124.3
   8.0  288.0   188.0
  31.0   11.0    28.7
  29.0   29.0    78.1
  28.0   51.0   292.1
  31.0   68.0   895.2
  28.0   88.0   702.6
  30.0  110.0   490.3
  28.0  130.0   136.1
  28.0  150.0   335.0
  30.0  171.0   277.0
  28.0  190.0   206.1
  31.0  209.0    24.5
  28.0  229.0   198.1
  30.0  250.0    60.3
  31.0  269.0   312.6
  31.0  289.0   240.9
  49.0   11.0   653.3
  49.0   29.0    96.4
  51.0   48.0   105.0
  49.0   68.0    37.8
  50.0   88.0   820.8
  51.0  109.0   450.7
  48.0  129.0   190.4
  49.0  151.0   773.3
  51.0  168.0   971.9
  48.0  190.0   762.4
  50.0  211.0   968.3
  49.0  231.0   394.7
  51.0  250.0   343.0
  50.0  268.0   863.8
  51.0  290.0   159.6
  71.0    9.0   445.8
  71.0   29.0   673.3
  70.0   51.0   252.6
  68.0   70.0   537.5
  69.0   90.0     0.0
  68.0  110.0   329.1
  68.0  128.0   646.3
  69.0  148.0   616.2
  69.0  169.0   761.3
  70.0  191.0   918.0
  69.0  208.0    97.4
  69.0  229.0     0.0
  68.0  250.0     0.0
  71.0  268.0     0.0
  71.0  288.0     2.4
  91.0   11.0   368.3
  91.0   29.0    91.6
  90.0   49.0   654.7
  91.0   68.0   645.5
  91.0   91.0   907.2
  91.0  111.0   826.3
  89.0  130.0   975.3
  88.0  149.0   551.1
  89.0  170.0   155.5
  89.0  188.0    10.7
  90.0  211.0     0.0
  90.0  230.0     0.0
  88.0  249.0     0.0
  88.0  269.0    12.1
  88.0  288.0    62.2
 109.0   11.0   399.6
 111.0   31.0   176.6
 108.0   49.0   402.0
 109.0   68.0   260.6
 108.0   88.0   192.0
 110.0  109.0   237.6
 109.0  129.0   702.0
 110.0  148.0    38.5
 111.0  169.0    22.1
 111.0  191.0     2.7
 110.0  208.0    17.9
 109.0  230.0   174.2
 109.0  249.0    12.9
 109.0  268.0   187.8
 111.0  291.0   268.8
 130.0    9.0   572.5
 131.0   31.0    29.1
 130.0   48.0    75.2
 128.0   70.0   399.9
 129.0   90.0   243.1
 131.0  109.0     0.0
 129.0  128.0   244.7
 131.0  148.0   185.2
 131.0  169.0    26.0
 129.0  191.0     0.0
 128.0  209.0   100.3
 130.0  231.0   530.3
 131.0  248.0   107.4
 128.0  269.0   159.3
 131.0  288.0    70.7
 148.0    8.0   260.2
 149.0   29.0   326.0
 150.0   49.0   332.7
 151.0   69.0   531.3
 150.0   89.0   547.2
 150.0  109.0   482.7
 150.0  129.0    84.1
 150.0  151.0     4.7
 149.0  169.0   180.6
 151.0  190.0     0.0
 148.0  208.0   342.4
 150.0  228.0   602.3
 149.0  251.0   209.1
 149.0  271.0    79.4
 148.0  291.0   104.1
 168.0    8.0   446.0
 171.0   29.0   189.9
 169.0   49.0   280.4
 168.0   69.0     0.0
 168.0   91.0   499.3
 171.0  109.0   457.3
 168.0  131.0   341.2
 171.0  150.0     0.0
 171.0  171.0   208.3
